path,breed,split,role,is_grayscale,cluster_key
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_140.jpg,holstein-friesian,train,unique,False,holstein-friesian_41
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_141.jpg,holstein-friesian,train,unique,False,holstein-friesian_42
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_142.jpg,holstein-friesian,train,unique,False,holstein-friesian_43
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_143.jpg,holstein-friesian,train,unique,False,holstein-friesian_44
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_146.jpg,holstein-friesian,train,unique,False,holstein-friesian_45
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_148.jpg,holstein-friesian,train,unique,True,holstein-friesian_46
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_149.jpg,holstein-friesian,train,unique,False,holstein-friesian_47
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_15.jpg,holstein-friesian,train,unique,True,holstein-friesian_48
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_150.jpg,holstein-friesian,train,unique,True,holstein-friesian_49
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_151.jpg,holstein-friesian,train,unique,True,holstein-friesian_50
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_152.jpg,holstein-friesian,train,unique,False,holstein-friesian_51
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_154.jpg,holstein-friesian,train,unique,True,holstein-friesian_52
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_155.jpg,holstein-friesian,train,unique,False,holstein-friesian_53
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_156.jpg,holstein-friesian,test,unique,False,holstein-friesian_54
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_157.jpg,holstein-friesian,train,unique,True,holstein-friesian_55
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_158.jpg,holstein-friesian,train,unique,False,holstein-friesian_56
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_159.jpg,holstein-friesian,test,unique,False,holstein-friesian_57
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_16.jpg,holstein-friesian,train,unique,True,holstein-friesian_58
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_160.jpg,holstein-friesian,train,unique,False,holstein-friesian_59
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_161.jpg,holstein-friesian,test,unique,False,holstein-friesian_60
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_162.jpg,holstein-friesian,train,unique,False,holstein-friesian_61
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_163.jpg,holstein-friesian,val,unique,True,holstein-friesian_62
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_164.jpg,holstein-friesian,train,unique,True,holstein-friesian_63
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_165.jpg,holstein-friesian,train,unique,True,holstein-friesian_64
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_166.jpg,holstein-friesian,train,unique,False,holstein-friesian_65
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_168.jpg,holstein-friesian,train,unique,False,holstein-friesian_66
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_169.jpg,holstein-friesian,train,unique,False,holstein-friesian_67
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_17.jpg,holstein-friesian,train,unique,False,holstein-friesian_68
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_170.jpg,holstein-friesian,val,unique,False,holstein-friesian_69
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_171.jpg,holstein-friesian,train,unique,True,holstein-friesian_70
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_173.jpg,holstein-friesian,train,unique,False,holstein-friesian_71
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_174.jpg,holstein-friesian,test,unique,False,holstein-friesian_72
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_176.jpg,holstein-friesian,train,unique,False,holstein-friesian_73
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_177.jpg,holstein-friesian,train,unique,False,holstein-friesian_74
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_178.jpg,holstein-friesian,train,unique,False,holstein-friesian_75
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_179.jpg,holstein-friesian,train,unique,False,holstein-friesian_76
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_18.jpg,holstein-friesian,train,unique,True,holstein-friesian_77
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_180.jpg,holstein-friesian,train,unique,False,holstein-friesian_78
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_182.jpg,holstein-friesian,train,unique,False,holstein-friesian_79
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_183.jpg,holstein-friesian,train,unique,False,holstein-friesian_80
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_184.jpg,holstein-friesian,train,unique,False,holstein-friesian_81
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_185.jpg,holstein-friesian,train,unique,False,holstein-friesian_82
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_186.jpg,holstein-friesian,test,unique,False,holstein-friesian_83
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_188.jpg,holstein-friesian,train,unique,False,holstein-friesian_84
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_189.jpg,holstein-friesian,train,unique,False,holstein-friesian_85
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_19.jpg,holstein-friesian,train,unique,False,holstein-friesian_86
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_190.jpg,holstein-friesian,test,unique,False,holstein-friesian_87
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_191.jpg,holstein-friesian,train,unique,True,holstein-friesian_88
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_193.jpg,holstein-friesian,train,unique,False,holstein-friesian_89
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_194.jpg,holstein-friesian,train,unique,False,holstein-friesian_90
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_195.jpg,holstein-friesian,train,unique,True,holstein-friesian_91
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_196.jpg,holstein-friesian,train,unique,False,holstein-friesian_92
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_197.jpg,holstein-friesian,train,unique,False,holstein-friesian_93
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_199.jpg,holstein-friesian,train,unique,True,holstein-friesian_94
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_2.jpg,holstein-friesian,train,unique,False,holstein-friesian_95
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_20.jpg,holstein-friesian,train,unique,True,holstein-friesian_96
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_201.jpg,holstein-friesian,train,unique,False,holstein-friesian_97
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_202.jpg,holstein-friesian,train,unique,True,holstein-friesian_98
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_203.jpg,holstein-friesian,train,unique,False,holstein-friesian_99
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_204.jpg,holstein-friesian,train,unique,False,holstein-friesian_100
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_205.jpg,holstein-friesian,train,unique,False,holstein-friesian_101
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_206.jpg,holstein-friesian,test,unique,False,holstein-friesian_102
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_207.jpg,holstein-friesian,train,unique,False,holstein-friesian_103
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_208.jpg,holstein-friesian,train,unique,True,holstein-friesian_104
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_209.jpg,holstein-friesian,train,unique,False,holstein-friesian_105
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_21.jpg,holstein-friesian,train,unique,False,holstein-friesian_106
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_210.jpg,holstein-friesian,train,unique,False,holstein-friesian_107
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_212.jpg,holstein-friesian,train,unique,True,holstein-friesian_108
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_213.jpg,holstein-friesian,train,unique,False,holstein-friesian_109
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_214.jpg,holstein-friesian,train,unique,True,holstein-friesian_110
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_215.jpg,holstein-friesian,train,unique,False,holstein-friesian_111
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_216.jpg,holstein-friesian,val,unique,False,holstein-friesian_112
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_217.jpg,holstein-friesian,train,unique,False,holstein-friesian_113
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_218.jpg,holstein-friesian,train,unique,True,holstein-friesian_114
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_219.jpg,holstein-friesian,train,unique,True,holstein-friesian_115
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_22.jpg,holstein-friesian,test,unique,False,holstein-friesian_116
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_220.jpg,holstein-friesian,train,unique,False,holstein-friesian_117
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_222.jpg,holstein-friesian,train,unique,False,holstein-friesian_118
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_223.jpg,holstein-friesian,train,unique,False,holstein-friesian_119
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_224.jpg,holstein-friesian,val,unique,False,holstein-friesian_120
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_225.jpg,holstein-friesian,train,unique,False,holstein-friesian_121
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_226.jpg,holstein-friesian,train,unique,False,holstein-friesian_122
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_227.jpg,holstein-friesian,train,unique,True,holstein-friesian_123
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_228.jpg,holstein-friesian,train,unique,False,holstein-friesian_124
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_229.jpg,holstein-friesian,train,unique,False,holstein-friesian_125
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_23.jpg,holstein-friesian,val,unique,False,holstein-friesian_126
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_230.jpg,holstein-friesian,train,unique,True,holstein-friesian_127
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_231.jpg,holstein-friesian,train,unique,False,holstein-friesian_128
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_232.jpg,holstein-friesian,train,unique,False,holstein-friesian_129
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_233.jpg,holstein-friesian,train,unique,False,holstein-friesian_130
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_234.jpg,holstein-friesian,train,unique,False,holstein-friesian_131
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_236.jpg,holstein-friesian,train,unique,False,holstein-friesian_132
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_237.jpg,holstein-friesian,train,unique,False,holstein-friesian_133
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_238.jpg,holstein-friesian,train,unique,False,holstein-friesian_134
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_239.jpg,holstein-friesian,val,unique,False,holstein-friesian_135
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_24.jpg,holstein-friesian,train,unique,False,holstein-friesian_136
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_241.jpg,holstein-friesian,train,unique,False,holstein-friesian_137
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_244.jpg,holstein-friesian,train,unique,False,holstein-friesian_138
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_245.jpg,holstein-friesian,test,unique,False,holstein-friesian_139
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_250.jpg,holstein-friesian,train,unique,False,holstein-friesian_140
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_251.jpg,holstein-friesian,train,unique,False,holstein-friesian_141
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_252.jpg,holstein-friesian,train,unique,False,holstein-friesian_142
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_253.jpg,holstein-friesian,test,unique,False,holstein-friesian_143
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_254.jpg,holstein-friesian,test,unique,False,holstein-friesian_144
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_256.jpg,holstein-friesian,train,unique,True,holstein-friesian_145
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_257.jpg,holstein-friesian,train,unique,False,holstein-friesian_146
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_258.jpg,holstein-friesian,train,unique,True,holstein-friesian_147
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_259.jpg,holstein-friesian,train,unique,False,holstein-friesian_148
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_26.jpg,holstein-friesian,train,unique,False,holstein-friesian_149
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_261.jpg,holstein-friesian,train,unique,False,holstein-friesian_150
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_262.jpg,holstein-friesian,train,unique,False,holstein-friesian_151
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_263.jpg,holstein-friesian,train,unique,True,holstein-friesian_152
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_265.jpg,holstein-friesian,train,unique,False,holstein-friesian_153
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_266.jpg,holstein-friesian,train,unique,False,holstein-friesian_154
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_267.jpg,holstein-friesian,train,unique,False,holstein-friesian_155
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_268.jpg,holstein-friesian,train,unique,False,holstein-friesian_156
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_269.jpg,holstein-friesian,train,unique,False,holstein-friesian_157
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\holstein-friesian\DS03__Holstein_Friesian_27.jpg,holstein-friesian,val,unique,False,holstein-friesian_158
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_270.jpg,holstein-friesian,train,unique,False,holstein-friesian_159
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_271.jpg,holstein-friesian,train,unique,False,holstein-friesian_160
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_272.jpg,holstein-friesian,train,unique,False,holstein-friesian_161
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\holstein-friesian\DS03__Holstein_Friesian_274.jpg,holstein-friesian,test,unique,True,holstein-friesian_162
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_275.jpg,holstein-friesian,train,unique,False,holstein-friesian_163
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_276.jpg,holstein-friesian,train,unique,False,holstein-friesian_164
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_278.jpg,holstein-friesian,train,unique,False,holstein-friesian_165
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\holstein-friesian\DS03__Holstein_Friesian_279.jpg,holstein-friesian,train,unique,False,holstein-friesian_166
