path,breed,role
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_68.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_7.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_71.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_72.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_73.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_74.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_75.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_76.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_77.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_78.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_79.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_8.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_80.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_81.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_82.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_83.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_84.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_85.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_86.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_87.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_88.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_89.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_9.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_90.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_91.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_92.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_93.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_94.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_95.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_96.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_97.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_98.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS03__Alambadi_99.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0001.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0002.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0004.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0007.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0009.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0010.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0014.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0016.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0017.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0018.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0020.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0021.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0023.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0024.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0025.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0028.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0029.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0032.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0035.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0037.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0042.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0044.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0050.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0051.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0053.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0062.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0063.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0065.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0071.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0075.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0076.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0077.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0080.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0083.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0085.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0088.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0090.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0094.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0101.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0104.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0106.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0107.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0110.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0111.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0114.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0117.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0118.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0121.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0123.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0124.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0127.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0129.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0130.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0133.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0134.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0135.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0136.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0139.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0140.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0142.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0143.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0144.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0148.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0149.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0151.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0152.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0153.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0155.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0157.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0159.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0161.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0162.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0163.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0164.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0166.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0168.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0169.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0171.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0177.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0178.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0179.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0180.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0182.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0183.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0185.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0188.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0189.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0193.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0196.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0197.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0200.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0201.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0202.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0204.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0205.png,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0207.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_006.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_009.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_010.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_016.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_024.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_027.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_029.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_035.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_040.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_042.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_045.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_046.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_047.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_053.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_054.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_055.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_056.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_058.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_060.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_061.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_062.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_063.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_065.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_067.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_070.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_074.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_080.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_086.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_091.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS11__Alambadi_096.jpg,alambadi,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_1.JPG,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_16.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_2.JPG,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_23.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_24.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_28.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_32.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_36.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_37.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_4.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_40.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_5.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_51.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_54.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_56.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_58.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_59.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_60.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_61.jpg,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_62.png,amritmahal,unique
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_63.jpg,amritmahal,unique
