path,breed,dataset_code,old_is_grayscale,new_is_grayscale,method,mean_channel_diff
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_219.jpg,holstein-friesian,DS03,False,True,channel_analysis,0.22
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_227.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.46
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_230.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.81
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_256.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_258.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.66
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_263.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_274.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.69
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_28.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.12
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_280.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.32
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_281.jpg,holstein-friesian,DS03,False,True,channel_analysis,4.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_294.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_301.jpg,holstein-friesian,DS03,False,True,channel_analysis,3.77
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_308.jpg,holstein-friesian,DS03,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_311.png,holstein-friesian,DS03,False,True,channel_analysis,3.93
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_312.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.2
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_316.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.55
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_317.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.65
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_323.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.21
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_34.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.78
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_47.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.28
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_49.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.33
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_6.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.35
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_71.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_78.jpg,holstein-friesian,DS03,False,True,channel_analysis,6.08
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_8.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.99
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_80.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.68
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_83.jpg,holstein-friesian,DS03,False,True,channel_analysis,2.16
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_84_1.jpg,holstein-friesian,DS03,False,True,channel_analysis,1.23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_86.jpg,holstein-friesian,DS03,False,True,channel_analysis,5.37
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_91.jpg,holstein-friesian,DS03,False,True,channel_analysis,7.23
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0043.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.22
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0053.jpg,holstein-friesian,DS04,False,True,channel_analysis,3.63
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0276.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.36
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0279.jpg,holstein-friesian,DS04,False,True,channel_analysis,1.36
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0289.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.12
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0300.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.31
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0310.jpg,holstein-friesian,DS04,False,True,channel_analysis,4.26
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0312.jpg,holstein-friesian,DS04,False,True,channel_analysis,1.01
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0319.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.29
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0323.jpg,holstein-friesian,DS04,False,True,channel_analysis,5.92
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0328.jpg,holstein-friesian,DS04,False,True,channel_analysis,3.54
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0330.jpg,holstein-friesian,DS04,False,True,channel_analysis,6.85
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0349.jpg,holstein-friesian,DS04,False,True,channel_analysis,3.86
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0364.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.36
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0365.jpg,holstein-friesian,DS04,False,True,channel_analysis,1.85
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0372.jpg,holstein-friesian,DS04,False,True,channel_analysis,0.3
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0381.jpg,holstein-friesian,DS04,False,True,channel_analysis,3.48
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0385.jpg,holstein-friesian,DS04,False,True,channel_analysis,5.95
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0402.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.66
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0415.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.17
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0439.jpg,holstein-friesian,DS04,False,True,channel_analysis,4.7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0471.jpg,holstein-friesian,DS04,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0481.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.7
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0495.jpg,holstein-friesian,DS04,False,True,channel_analysis,4.16
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0509.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.25
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0511.jpg,holstein-friesian,DS04,False,True,channel_analysis,3.87
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0536.jpg,holstein-friesian,DS04,False,True,channel_analysis,6.78
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0541.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.59
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0546.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.72
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0554.jpg,holstein-friesian,DS04,False,True,channel_analysis,2.78
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0559.jpg,holstein-friesian,DS04,False,True,channel_analysis,7.45
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle100.jpg,holstein-friesian,DS07,False,True,channel_analysis,1.81
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle103.jpg,holstein-friesian,DS07,False,True,channel_analysis,4.61
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle106.jpg,holstein-friesian,DS07,False,True,channel_analysis,7.62
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle118.jpg,holstein-friesian,DS07,False,True,channel_analysis,3.81
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle121.jpg,holstein-friesian,DS07,False,True,channel_analysis,7.46
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle123.jpg,holstein-friesian,DS07,False,True,channel_analysis,2.01
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle125.jpg,holstein-friesian,DS07,False,True,channel_analysis,6.8
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle132.jpg,holstein-friesian,DS07,False,True,channel_analysis,2.45
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle139.jpg,holstein-friesian,DS07,False,True,channel_analysis,0.68
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle15.jpg,holstein-friesian,DS07,False,True,channel_analysis,2.39
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle33.jpg,holstein-friesian,DS07,False,True,channel_analysis,2.88
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle39.jpg,holstein-friesian,DS07,False,True,channel_analysis,3.42
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle40.jpg,holstein-friesian,DS07,False,True,channel_analysis,4.3
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle50.jpg,holstein-friesian,DS07,False,True,channel_analysis,3.47
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle53.jpg,holstein-friesian,DS07,False,True,channel_analysis,3.56
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle57.jpg,holstein-friesian,DS07,False,True,channel_analysis,3.58
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle74.jpg,holstein-friesian,DS07,False,True,channel_analysis,7.33
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle90.jpg,holstein-friesian,DS07,False,True,channel_analysis,6.12
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_100_jpg.rf.4bbe06c3f129b95692df6a3ebd499a21.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_101_jpg.rf.a528329b69f1f9e0ed14cfaa46db6b79.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_102_jpg.rf.873aa11b9c1e234c51f79625bba9f421.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_103_jpg.rf.eaf6c1561f15b0c101d56930e24d380a.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_104_jpg.rf.7181900c73f580895e426cf90b793938.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_105_jpg.rf.dce42278ea5766eb9dd743cb9a850e6f.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_106_jpg.rf.40c291f4d0382818a62d24789156ec5d.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_107_jpg.rf.bd08f2f5ef55410becc71c3f11a4939c.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_108_jpg.rf.84290c684a88b6125f93c6d1ab37563a.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_109_jpg.rf.1556f16eca96121e589c45c06a23ab2a.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_10_jpg.rf.227da368d24710ea79c812074ac188f0.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_110_jpg.rf.ec0752d8c4d9528489a6d43044856eee.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_111_jpg.rf.b91abc4b3f52f34b84d845a5800b6cb1.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_112_jpg.rf.a82d59dd6e3f2b0fd305c78561531634.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_113_jpg.rf.05d82cb9f45b8fad872719b6f1d49ecf.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_114_jpg.rf.d2f1d57ed739b3fd000d723fb2f8ce85.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_115_jpg.rf.a94a2698df56170a374ce70b841a1c4a.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_116_jpg.rf.ed980d2f5767722bc5d7dd7ce35b96ab.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_117_jpg.rf.afc5d6504158cbc45890d5b72575ff49.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_118_jpg.rf.0376981226df4ea94d4818cc3dc19b65.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_119_jpg.rf.1201a802d138479d9f9b48fb916e93a5.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_11_jpg.rf.442510aba5662e7ef536b9ecf3bb59fc.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_120_jpg.rf.ffda76a455ac2e3e7e1c084f8735ec35.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_121_jpg.rf.5117c741704e3ec73e2932c39662d23d.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_122_jpg.rf.a9ca45740e9c1497bcbeecab59df2ccd.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_123_jpg.rf.f4d68b368265f419b7954e432c68771f.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_124_jpg.rf.99587ca298b6934f6fa2af76246830bb.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_125_jpg.rf.b0e70f36d75b494cb9e62dd67e5ff270.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_126_jpg.rf.f90363cbd1474064e25d8892ee035b73.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_127_jpg.rf.026458720d6382b4d8f0767e017db412.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_128_jpg.rf.f9ab376702d980997ee53398bbea7992.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_129_jpg.rf.03854504b2fd635ef4a5f11bd457c032.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_12_jpg.rf.2c4bcdb264809de8b1ca93c1e8aaca0a.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_130_jpg.rf.f67017795c20f82d1ccc30fa7de776da.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_131_jpg.rf.f479f41ecae9cdc1c42c3a238e9c7a25.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_132_jpg.rf.fbf18dd77c72670dd6d8f3e4c4454bcd.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_133_jpg.rf.477503ce31024e07d99bcced7e541d99.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_134_jpg.rf.d208e825751bdfc7aa958ed63c4a723c.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_136_jpg.rf.4fca25577be2434f0522e118883d4424.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_137_jpg.rf.594754c8a45a2250595a68417fa18f29.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_138_jpg.rf.b5037a0bf47d714d534fc2803291d98f.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_139_jpg.rf.3589b46ff5d8c268a2ee4eb0e8f47238.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_13_jpg.rf.401b5a9ade3c5a59cbeca2c541111209.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_140_jpg.rf.91d977f0313257e4de6e88a812c5e440.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS08__Holstein_Friesian_141_jpg.rf.2c4b58e3cdb5e9c0076b898284555b42.jpg,holstein-friesian,DS08,False,True,channel_analysis,0.0
