cluster_key,breed,old_split,new_split,old_path,new_path,moved
nagori_201,nagori,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\nagori\DS11__Nagori_036.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\nagori\DS11__Nagori_036.jpg,True
nagori_280,nagori,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\nagori\DS04__nagori_0037.webp,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\nagori\DS04__nagori_0037.webp,True
nili-ravi_247,nili-ravi,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\nili-ravi\DS04__nili_ravi_0023.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\nili-ravi\DS04__nili_ravi_0023.jpg,True
tharparkar_41,tharparkar,val,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS02__Tharparkar_137.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS02__Tharparkar_137.jpg,True
tharparkar_46,tharparkar,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS10__Tharparkar_141__aug2_tharparkar_46.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS10__Tharparkar_141__aug2_tharparkar_46.png,True
tharparkar_49,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS10__Tharparkar_144__aug3_tharparkar_49.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS10__Tharparkar_144__aug3_tharparkar_49.jpg,True
tharparkar_89,tharparkar,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS02__Tharparkar_182.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS02__Tharparkar_182.jpg,True
tharparkar_117,tharparkar,train,val,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS04__tharparkar_0134__aug1_tharparkar_117.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS04__tharparkar_0134__aug1_tharparkar_117.jpg,True
tharparkar_150,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS10__Tharparkar_41__aug4_tharparkar_150.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS10__Tharparkar_41__aug4_tharparkar_150.jpg,True
tharparkar_150,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS10__Tharparkar_42__aug5_tharparkar_150.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS10__Tharparkar_42__aug5_tharparkar_150.jpg,True
tharparkar_161,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS05__download-1-_jpeg.rf.c2489c188c5917f828398f0238c73697.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS05__download-1-_jpeg.rf.c2489c188c5917f828398f0238c73697.jpg,True
tharparkar_161,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS05__download-1-_rot0_b0_8_jpeg.rf.c8d4d8cc2789199de566d048e0a6b69d__aug3_tharparkar_161.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS05__download-1-_rot0_b0_8_jpeg.rf.c8d4d8cc2789199de566d048e0a6b69d__aug3_tharparkar_161.jpg,True
tharparkar_161,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS05__download-1-_rot0_b1_0_jpeg.rf.9db14bb029110582a1c21a3f9b6f6b3c__aug4_tharparkar_161.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS05__download-1-_rot0_b1_0_jpeg.rf.9db14bb029110582a1c21a3f9b6f6b3c__aug4_tharparkar_161.jpg,True
tharparkar_183,tharparkar,train,test,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS06__Tharparkar_74__aug2_tharparkar_183.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS06__Tharparkar_74__aug2_tharparkar_183.png,True
tharparkar_218,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS03__Tharparkar_106.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS03__Tharparkar_106.jpg,True
tharparkar_218,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS06__Tharparkar_106__aug2_tharparkar_218.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS06__Tharparkar_106__aug2_tharparkar_218.jpg,True
tharparkar_218,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS10__Tharparkar_106__aug3_tharparkar_218.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS10__Tharparkar_106__aug3_tharparkar_218.jpg,True
tharparkar_229,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS11__Tharparkar_021__aug1_tharparkar_229.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS11__Tharparkar_021__aug1_tharparkar_229.jpg,True
tharparkar_250,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS11__Tharparkar_044__aug1_tharparkar_250.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS11__Tharparkar_044__aug1_tharparkar_250.jpg,True
tharparkar_292,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS03__Tharparkar_179.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS03__Tharparkar_179.png,True
tharparkar_314,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS03__Tharparkar_203.jpeg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS03__Tharparkar_203.jpeg,True
tharparkar_341,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS11__Tharparkar_149__aug1_tharparkar_341.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS11__Tharparkar_149__aug1_tharparkar_341.jpg,True
tharparkar_347,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS03__Tharparkar_45.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS03__Tharparkar_45.jpg,True
tharparkar_402,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS06__Tharparkar_172__aug1_tharparkar_402.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS06__Tharparkar_172__aug1_tharparkar_402.png,True
tharparkar_461,tharparkar,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\tharparkar\DS05__images_rot15_b1_0_jpeg.rf.001261c84987202bf2051abc479c5e5d__aug1_tharparkar_461.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS05__images_rot15_b1_0_jpeg.rf.001261c84987202bf2051abc479c5e5d__aug1_tharparkar_461.jpg,True
tharparkar_493,tharparkar,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\tharparkar\DS05__tharparker-1_rot15_b0_8_jpg.rf.aece9d2d1dba4db492095e3ed0a2f8a0.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\tharparkar\DS05__tharparker-1_rot15_b0_8_jpg.rf.aece9d2d1dba4db492095e3ed0a2f8a0.jpg,True
umblachery_159,umblachery,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\umblachery\DS02__Umblachery_38.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\umblachery\DS02__Umblachery_38.png,True
umblachery_206,umblachery,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\umblachery\DS03__Umblachery_11.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\umblachery\DS03__Umblachery_11.jpg,True
umblachery_222,umblachery,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\umblachery\DS11__Umblachery_020__aug1_umblachery_222.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\umblachery\DS11__Umblachery_020__aug1_umblachery_222.jpg,True
umblachery_228,umblachery,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\umblachery\DS03__Umblachery_34.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\umblachery\DS03__Umblachery_34.jpg,True
umblachery_262,umblachery,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\umblachery\DS11__Umblachery_064__aug1_umblachery_262.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\umblachery\DS11__Umblachery_064__aug1_umblachery_262.jpg,True
red-sindhi_179,red-sindhi,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\red-sindhi\DS03__Red_Sindhi_122.png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\red-sindhi\DS03__Red_Sindhi_122.png,True
red-sindhi_255,red-sindhi,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\red-sindhi\DS11__Red_Sindhi_113__aug1_red-sindhi_255.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\red-sindhi\DS11__Red_Sindhi_113__aug1_red-sindhi_255.jpg,True
vechur_164,vechur,val,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\val\vechur\DS03__00000090.jpg,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\vechur\DS03__00000090.jpg,True
vechur_248,vechur,test,train,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\test\vechur\DS03__Screenshot (287).png,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\train\vechur\DS03__Screenshot (287).png,True
