path,breed,dataset_code,source_type,role,width,height,format,mode,is_grayscale,aspect_ratio,resolution_category,file_size_bytes,status,grayscale_detection_method
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_133.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10549,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_134.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10375,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_136.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10047,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_137.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9307,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_138.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7507,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_139.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10249,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_14.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9338,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_140.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9129,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_141.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10696,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_142.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9108,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_143.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6693,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_146.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8259,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_148.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,10778,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_149.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9489,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_15.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,9522,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_150.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,7489,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_151.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,8242,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_152.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10407,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_154.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,9367,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_155.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10745,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_156.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11384,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_157.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5204,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_158.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7612,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_159.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9360,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_16.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,10504,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_160.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10283,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_161.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9045,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_162.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9614,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_163.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5641,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_164.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,7749,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_165.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,8464,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_166.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8596,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_168.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10982,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_169.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8787,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_17.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8106,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_170.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11313,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_171.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5623,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_173.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8744,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_174.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9570,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_176.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8862,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_177.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8457,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_178.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,5783,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_179.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9101,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_18.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6942,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_180.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9770,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_182.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11133,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_183.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10183,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_184.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6290,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_185.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10868,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_186.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8948,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_188.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9699,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_189.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10114,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_19.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7564,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_190.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9332,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_191.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6889,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_193.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9454,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_194.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9724,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_195.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,7991,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_196.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8363,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_197.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,13821,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_199.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,8013,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_2.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8414,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_20.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,9300,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_201.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8336,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_202.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5970,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_203.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7274,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_204.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6443,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_205.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6523,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_206.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8133,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_207.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,6303,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_208.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,7570,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_209.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9209,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_21.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10877,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_210.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7552,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_212.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6415,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_213.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10731,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_214.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,7937,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_215.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10829,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_216.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8354,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_217.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,11967,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_218.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6099,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_219.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6866,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_22.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8965,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_220.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10377,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_222.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8348,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_223.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9094,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_224.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9021,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_225.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9849,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_226.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,8542,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_227.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,5466,ok,channel_analysis
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_228.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,10397,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_229.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,9097,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_23.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,False,1.0,medium,7459,ok,not_grayscale
D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_230.jpg,holstein-friesian,DS03,original,unique,224,224,JPEG,RGB,True,1.0,medium,6603,ok,channel_analysis
