breed,dataset_code,dataset_full_name,original_path,cluster_id,duplicate_type,role,new_path
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0043.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0043.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0045.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0045.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0046.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0046.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0047.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0047.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0048.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0048.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0049.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0049.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0052.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0052.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0054.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0054.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0055.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0055.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0056.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0056.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0057.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0057.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0058.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0058.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0059.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0059.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0060.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0060.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0061.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0061.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0064.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0064.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0066.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0066.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0067.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0067.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0068.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0068.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0069.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0069.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0070.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0070.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0072.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0072.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0073.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0073.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0074.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0074.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0078.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0078.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0079.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0079.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0081.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0081.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0082.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0082.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0084.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0084.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0086.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0086.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0087.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0087.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0089.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0089.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0091.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0091.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0092.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0092.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0093.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0093.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0095.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0095.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0096.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0096.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0097.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0097.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0098.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0098.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0099.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0099.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0100.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0100.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0102.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0102.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0103.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0103.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0105.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0105.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0108.jpg,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0108.jpg
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0109.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0109.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0112.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0112.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0113.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0113.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0115.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0115.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0116.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0116.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0119.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0119.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0120.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0120.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0122.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0122.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0125.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0125.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0126.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0126.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0128.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0128.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0131.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0131.png
alambadi,DS04,Breed-cattle-buffalo,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\alambadi\DS04__alambadi_0132.png,,,rejected_invalid,D:\Projects\Federated_Learning\Master-Dataset\scrapped_photos\invalid_unreadable_at_dedup\alambadi\DS04__alambadi_0132.png
