hash,path,breed
8e0765bd91d1f069,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_84.jpg,khillari
8e0765bd91d1f069,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_84.jpg,khillari
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_74.jpg,amritmahal
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hariana\DS02__Hariana_39.jpg,hariana
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kankrej\DS02__Kankrej_178.jpg,kankrej
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kenkatha\DS04__kenkatha_0041.jpg,kenkatha
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS02__Krishna_Valley_22.jpg,krishna-valley
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS04__krishna_valley_0066.jpg,krishna-valley
fcf4206109ddf60e,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS10__Krishna_Valley_22.jpg,krishna-valley
b1b9076e3d397809,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_75.jpg,amritmahal
b1b9076e3d397809,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS02__Krishna_Valley_132.jpg,krishna-valley
b1b9076e3d397809,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS04__krishna_valley_0052.jpg,krishna-valley
b1b9076e3d397809,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS10__Krishna_Valley_132.jpg,krishna-valley
b9b886677c09cbb0,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__Amritmahal_95.jpg,amritmahal
b9b886677c09cbb0,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_297x170_55.jpg,malvi
fa9cb560c8d1e16a,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_200x134_71.jpg,amritmahal
fa9cb560c8d1e16a,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_200x134_76.jpg,malvi
ed869239c36c3371,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_200x150_70.jpg,amritmahal
ed869239c36c3371,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS04__kherigarh_0020.jpg,kherigarh
ed869239c36c3371,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS06__00000047.jpg,kherigarh
ed869239c36c3371,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS10__00000047.jpg,kherigarh
b91ec6e1611e1f2c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_225x225_47.jpg,amritmahal
b91ec6e1611e1f2c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\punganur\DS02__Punganur_Cows_A_Guide_to_Owning_and_.jpg,punganur
c63834346ccdcf95,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_225x225_49.jpg,amritmahal
c63834346ccdcf95,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\shweta-kapila\DS02__image_225x225_50.jpg,shweta-kapila
bb1e97d1e0628333,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_226x223_50.jpg,amritmahal
bb1e97d1e0628333,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__Untitled.jpg,bachaur
bb1e97d1e0628333,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_226x223_63.jpg,malvi
81c577387e8f808f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_234x215_66.jpg,amritmahal
81c577387e8f808f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_56.jpg,hallikar
e99e9761348bc364,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_236x135_69.jpg,amritmahal
e99e9761348bc364,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_236x135_74.jpg,malvi
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_243x207_56.jpg,amritmahal
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gangatiri\DS02__image_243x207_47.jpg,gangatiri
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS02__Hallikar_98.jpg,hallikar
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS02__Krishna_Valley_101.jpg,krishna-valley
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS04__krishna_valley_0018.jpg,krishna-valley
84d0746e1b3b999d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS10__Krishna_Valley_101.jpg,krishna-valley
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_249x202_57.jpg,amritmahal
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS02__image_249x202_3.jpg,kherigarh
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS02__Krishna_Valley_124.jpg,krishna-valley
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS04__krishna_valley_0043.jpg,krishna-valley
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS06__Krishna_Valley_124.jpg,krishna-valley
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS10__Krishna_Valley_124.jpg,krishna-valley
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ongole\DS02__Ongole_193.jpg,ongole
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ongole\DS04__ongole_0114.jpg,ongole
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ongole\DS06__Ongole_193.jpg,ongole
ed5996b43a82c535,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ongole\DS10__Ongole_193.jpg,ongole
fa1e95d2e8c18563,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_259x195_27.jpg,amritmahal
fa1e95d2e8c18563,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS02__image_259x195_2.jpg,kherigarh
fa9c87e3e0922e25,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_259x195_28.jpg,amritmahal
fa9c87e3e0922e25,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS02__Tharparkar_77.jpg,tharparkar
fa9c87e3e0922e25,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS04__tharparkar_0206.jpg,tharparkar
fa9c87e3e0922e25,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS06__Tharparkar_77.jpg,tharparkar
fa9c87e3e0922e25,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS10__Tharparkar_77.jpg,tharparkar
c0c2a62dbb8ed59c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_265x190_31.jpg,amritmahal
c0c2a62dbb8ed59c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gangatiri\DS02__image_265x190_23.jpg,gangatiri
c4993b37e2e29cc8,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_275x183_60.jpg,amritmahal
c4993b37e2e29cc8,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_275x183_46.jpg,malvi
ade34714b02fca35,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_275x183_61.jpg,amritmahal
ade34714b02fca35,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\shweta-kapila\DS02__image_275x183_48.jpg,shweta-kapila
f4e84b02b8474dde,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS02__image_275x183_62.jpg,amritmahal
f4e84b02b8474dde,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\shweta-kapila\DS02__image_275x183_50.jpg,shweta-kapila
da2f05d16a7e5528,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_31.jpg,amritmahal
da2f05d16a7e5528,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS03__Khillari_14.jpg,khillari
aaae755117277152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_36.jpg,amritmahal
aaae755117277152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS03__Khillari_68.jpg,khillari
899966c65a73352d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_40.jpg,amritmahal
899966c65a73352d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS03__Hallikar_119.jpg,hallikar
c69d38620b93d6bc,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_5.jpg,amritmahal
c69d38620b93d6bc,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS03__Khillari_53.jpg,khillari
c69d38620b93d6bc,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS03__Khillari_54.jpg,khillari
ef94147a0737514b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_58.jpg,amritmahal
ef94147a0737514b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS03__Hallikar_28.jpg,hallikar
8e0765fc58426e2f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_64.jpg,amritmahal
8e0765fc58426e2f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS03__Khillari_84.jpg,khillari
f03985d2eccf9192,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_69.jpg,amritmahal
f03985d2eccf9192,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS03__Krishna_Valley_15.jpg,krishna-valley
fcfc210b0b9e7622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS03__Amritmahal_74.jpg,amritmahal
fcfc210b0b9e7622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hariana\DS03__Hariana_39.jpg,hariana
fcfc210b0b9e7622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kankrej\DS03__Kankrej_178.jpg,kankrej
fcfc210b0b9e7622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kenkatha\DS03__00000197.jpg,kenkatha
aaacb5518727f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS11__Amritmahal_030.jpg,amritmahal
aaacb5518727f152,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS11__Khillari_081.jpg,khillari
8981e6c6da73b42d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS11__Amritmahal_035.jpg,amritmahal
8981e6c6da73b42d,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hallikar\DS11__Hallikar_023.jpg,hallikar
fcf4a109899ef622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS11__Amritmahal_072.jpg,amritmahal
fcf4a109899ef622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hariana\DS11__Hariana_065.jpg,hariana
fcf4a109899ef622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kankrej\DS11__Kankrej_088.jpg,kankrej
fcf4a109899ef622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kenkatha\DS11__Kenkatha_027.jpg,kenkatha
fcf4a109899ef622,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS11__Krishna_Valley_052.jpg,krishna-valley
b139864ef891dad2,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\amritmahal\DS11__Amritmahal_073.jpg,amritmahal
b139864ef891dad2,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\krishna-valley\DS11__Krishna_Valley_038.jpg,krishna-valley
c1c3bebea48e8c98,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS02__Ayrshire_119.jpg,ayrshire
c1c3bebea48e8c98,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS04__guernsey_0240.jpg,guernsey
c141bebe3a676c84,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS02__Ayrshire_37.jpg,ayrshire
c141bebe3a676c84,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS04__brown_swiss_0391.jpg,brown-swiss
c141bebe3a676c84,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS04__guernsey_0224.jpg,guernsey
c141bebe3a676c84,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS04__holstein-friesian_0493.jpg,holstein-friesian
c141bebe3a676c84,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\jersey\DS04__jersey_0126.jpg,jersey
e989dbc6e4e094b4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS02__Ayrshire_40.jpg,ayrshire
e989dbc6e4e094b4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS04__brown_swiss_0268.jpg,brown-swiss
e989dbc6e4e094b4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS04__guernsey_0206.jpg,guernsey
f0931f74610b5ae5,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS03__Ayrshire_1.jpg,ayrshire
f0931f74610b5ae5,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS03__Guernsey_55.jpg,guernsey
959e4b6b30141e3f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS03__Ayrshire_110.jpg,ayrshire
959e4b6b30141e3f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_112.jpg,holstein-friesian
c1c33e3e65095b71,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS03__Ayrshire_119.jpg,ayrshire
c1c33e3e65095b71,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS03__Guernsey_95.jpg,guernsey
c1413ebe78c14f99,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS03__Ayrshire_37.jpg,ayrshire
c1413ebe78c14f99,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS03__Brown_Swiss_28.jpg,brown-swiss
c1413ebe78c14f99,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS03__Guernsey_80.jpg,guernsey
c1413ebe78c14f99,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS03__Holstein_Friesian_328.jpg,holstein-friesian
c1413ebe78c14f99,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\jersey\DS03__Jersey_29.jpg,jersey
eba91e4624311b9f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS03__Ayrshire_40.jpg,ayrshire
eba91e4624311b9f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS03__Brown_Swiss_12.jpg,brown-swiss
eba91e4624311b9f,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS03__Guernsey_64.jpg,guernsey
e0939ef4a51b53c1,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS07__Ayrshirecattle1.jpg,ayrshire
e0939ef4a51b53c1,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS04__guernsey_0196.jpg,guernsey
974f8aa5c3b83586,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS07__Ayrshirecattle100.jpg,ayrshire
974f8aa5c3b83586,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS07__BrownSwisscattle125.jpg,brown-swiss
974f8aa5c3b83586,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS07__HolsteinFriesiancattle134.jpg,holstein-friesian
c80d3f36dc69c3c8,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS07__Ayrshirecattle113.jpg,ayrshire
c80d3f36dc69c3c8,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\siri\DS02__image_277x182_33.jpg,siri
e0939f74c10bdae4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS11__Ayrshire_001.jpg,ayrshire
e0939f74c10bdae4,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS11__Guernsey_071.jpg,guernsey
959ecb69b0149e1b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS11__Ayrshire_014.jpg,ayrshire
959ecb69b0149e1b,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS11__Holstein_Friesian_016.jpg,holstein-friesian
c1c3be3ee401da71,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS11__Ayrshire_023.jpg,ayrshire
c1c3be3ee401da71,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS11__Guernsey_115.jpg,guernsey
c141bebeb8c1c599,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ayrshire\DS11__Ayrshire_166.jpg,ayrshire
c141bebeb8c1c599,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\brown-swiss\DS11__Brown_Swiss_147.jpg,brown-swiss
c141bebeb8c1c599,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\guernsey\DS11__Guernsey_099.jpg,guernsey
c141bebeb8c1c599,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\holstein-friesian\DS11__Holstein_Friesian_255.jpg,holstein-friesian
c141bebeb8c1c599,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\jersey\DS11__Jersey_126.jpg,jersey
ed45223a3a3b8ee1,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__Breeds_of_cattle_buffalo_Agriculture.jpg,bachaur
ed45223a3a3b8ee1,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS02__image_225x225_3.jpg,kherigarh
ed45223a3a3b8ee1,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS02__Visually_searched_image (2).jpg,kherigarh
daec3895c5d580ce,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__Department_of_animal_husbandry_and_dairying.jpg,bachaur
daec3895c5d580ce,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\ghumusari\DS02__Department_of_animal_husbandry_and_dairying.jpg,ghumusari
daec3895c5d580ce,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\malvi\DS02__image_225x225_49 (3).jpg,malvi
fa8d81b06ed7b064,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_231x218_15.jpg,bachaur
fa8d81b06ed7b064,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_39.jpg,khillari
fa8d81b06ed7b064,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0064.jpg,khillari
fa8d81b06ed7b064,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_39.jpg,khillari
fa8d81b06ed7b064,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_39.jpg,khillari
c981636e3e5e22b6,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_242x208_5.jpg,bachaur
c981636e3e5e22b6,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kenkatha\DS04__kenkatha_0023.jpeg,kenkatha
c981636e3e5e22b6,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS04__kherigarh_0016.jpeg,kherigarh
c981636e3e5e22b6,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS06__00000014.jpeg,kherigarh
c981636e3e5e22b6,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS10__00000014.jpeg,kherigarh
b90f87c0687693d3,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_251x201_2.jpg,bachaur
b90f87c0687693d3,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_11.jpg,khillari
b90f87c0687693d3,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0027.jpg,khillari
b90f87c0687693d3,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_11.jpg,khillari
da5a6165b89a5785,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_251x201_3.jpg,bachaur
da5a6165b89a5785,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\dagri\DS04__dagri_0001.jpg,dagri
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_256x197_3.jpg,bachaur
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\hariana\DS02__Hariana_80.jpg,hariana
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS04__kherigarh_0021.jpg,kherigarh
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS06__00000049.jpg,kherigarh
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\kherigarh\DS10__00000049.jpg,kherigarh
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS02__Tharparkar_53.jpg,tharparkar
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS04__tharparkar_0180.jpg,tharparkar
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS06__Tharparkar_53.jpg,tharparkar
df0e87e1e8d58701,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\tharparkar\DS10__Tharparkar_53.jpg,tharparkar
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_257x196_4.jpg,bachaur
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gaolao\DS02__Classification_of_Common_Indian_Breeds_.jpg,gaolao
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS02__Khillari_5.jpg,khillari
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS04__khillar_0075.jpg,khillari
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS06__Khillari_5.jpg,khillari
ebc29439d46ec46c,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\khillari\DS10__Khillari_5.jpg,khillari
860379bc9e926769,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_259x194_36.jpg,bachaur
860379bc9e926769,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\gangatiri\DS02__image_259x194_35.jpg,gangatiri
afc9d0963dcb6230,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\bachaur\DS02__image_260x194_2.jpg,bachaur
afc9d0963dcb6230,D:\Projects\Federated_Learning\Master-Dataset\master_dataset\dagri\DS02__Untitled.jpg,dagri
